的	白 	de dí dì					
鏢	金 	biāo					
砗	石 	chē					
硨	石 	chē					
蒹	艸 	jiān					
袒	衣 	tăn zhàn					
塹	土 	qiàn					
堑	土 	qiàn					
悴	心 	cuì					
瘡	疒 	chuāng					
疮	疒 	chuāng					
俾	人 	bĭ					
窘	穴 	jiŏng					
亢	亠 	kàng gāng					
诟	言 	gòu					
詬	言 	gòu hòu					
扼	手 	è					
祠	示 	cí sì					
厥	厂 	jué					
蜴	虫 	yì xí					
蛤	虫 	há gé hā è					
痊	疒 	quán					
茱	艸 	zhū					
俨	人 	yăn					
儼	人 	yăn					
笈	竹 	jí					
榴	木 	liú					
骐	馬 	qí					
騏	馬 	qí					
蒜	艸 	suàn					
奄	大 	yăn yān					
髏	骨 	lóu					
髅	骨 	lóu					
鬚	髟 	xū					
砰	石 	pēng pīng pèng					
迢	辵 	tiáo					
蜥	虫 	xī					
縷	糸 	lܳ					
缕	糸 	lܳ					
鲸	魚 	jīng qíng					
鯨	魚 	jīng qíng					
糢	米 	mó					
吱	口 	zhī zī					
眩	目 	xuàn huàn juàn					
栈	木 	zhàn					
棧	木 	zhàn					
戮	戈 	lù					
夸	大 	kuā					
樟	木 	zhāng					
杭	木 	háng kāng					
笠	竹 	lì					
咸	口 	xián					
棘	木 	jí					
慵	心 	yōng yóng					
籬	竹 	lí					
庶	广 	shù					
荼	艸 	tú chá shū yé					
捶	手 	chuí					
漣	水 	lián lán					
涟	水 	lián					
櫥	木 	chú					
吏	口 	lì					
荐	艸 	jiàn					
芯	艸 	xīn xìn					
禾	禾 	hé					
巔	山 	diān					
巅	山 	diān					
肋	肉 	lè lèi lē jīn					
侖	人 	lún					
仑	人 	lún					
跆	足 	tái					
恣	心 	zì cī					
鳩	鳥 	jiū qiú zhì					
鸠	鳥 	jiū					
蔬	艸 	shū xū shŭ					
徉	彳 	yáng					
跎	足 	tuó					
拣	手 	jiăn					
揀	手 	jiăn					
艸	艸 	căo zào					
嚀	口 	níng					
咛	口 	níng					
蜻	虫 	qīng jīng					
嬉	女 	xī					
鱷	魚 	è					
沁	水 	qìn					
嗽	口 	sòu					
瑾	玉 	jĭn jìn					
藩	艸 	fán fān					
匕	匕 	bĭ					
硷	石 	jiăn					
鹼	鹵 	jiăn					
酋	酉 	qiú					
虏	虍 	lŭ					
虜	虍 	lŭ					
噩	口 	è					
驿	馬 	yì					
驛	馬 	yì					
奠	大 	diàn					
萌	艸 	méng míng					
呛	口 	qiāng qiàng					
嗆	口 	qiāng qiàng					
墉	土 	yōng yóng					
兢	儿 	jīng					
躇	足 	chú chuò					
泠	水 	líng lĭng					
梢	木 	shāo shào xiāo					
翱	羽 	áo					
俭	人 	jiăn					
儉	人 	jiăn					
甸	田 	diàn shèng tián yìng					
薑	艸 	jiāng					
诣	言 	yì					
詣	言 	yì					
翡	羽 	fĕi					
僥	人 	jiăo					
侥	人 	jiăo					
竇	穴 	dòu dú					
窦	穴 	dòu					
瘖	疒 	yīn					
撓	手 	náo					
挠	手 	náo					
蟀	虫 	shuài					
蜓	虫 	tíng diàn					
躊	足 	chóu					
踌	足 	chóu					
緬	糸 	miăn					
缅	糸 	miăn					
憔	心 	qiáo					
擞	手 	sŏu sòu					
擻	手 	sŏu sòu					
枭	木 	xiāo					
梟	木 	xiāo					
渲	水 	xuàn					
耙	耒 	pá bă bà					
惋	心 	wăn					
塾	土 	shú					
皈	白 	guī					
讦	言 	jié					
訐	言 	jié jì					
觞	角 	shāng					
觴	角 	shāng					
眶	目 	kuàng					
蛀	虫 	zhù					
怆	心 	chuàng					
愴	心 	chuàng					
殭	歹 	jiāng					
噗	口 	pū					
灸	火 	jiŭ					
竺	竹 	zhú dŭ					
幌	巾 	huăng					
痲	疒 	má					
稟	禾 	bĭng lĭn					
傌	人 	mà					
栾	木 	luán					
欒	木 	luán					
窯	穴 	yáo					
羲	羊 	xī					
愕	心 	è					
坞	土 	wù wù					
塢	土 	wù wù					
恸	心 	tòng					
慟	心 	tòng					
炯	火 	jiŏng					
荤	艸 	hūn xūn					
葷	艸 	hūn xūn					
澱	水 	diàn					
佼	人 	jiăo jiāo					
腺	肉 	xiàn					
埸	土 	yì					
膺	肉 	yīng					
扑	手 	bū pū					
缪	糸 	móu jiū liăo miào miù mù					
繆	糸 	móu jiū liăo miào miù mù					
冶	冫 	yĕ					
缀	糸 	zhuì chuò					
綴	糸 	zhuì chuò					
旱	日 	hàn					
灼	火 	zhuó					
勛	力 	xūn					
勋	力 	xūn					
沱	水 	tuó duò chí					
啧	口 	zé					
嘖	口 	zé					
嗈	口 	yōng					
泄	水 	xiè yì					
耨	耒 	nòu					
霎	雨 	shà					
儸	人 	luó					
紊	糸 	wèn wĕn					
噶	口 	gé gá					
剔	刀 	tī					
孵	子 	fū					
冉	冂 	răn					
圳	土 	zhèn					
臼	臼 	jiù					
怔	心 	zhēng					
侷	人 	jú					
褒	衣 	bāo					
蹉	足 	cuō chuài					
粘	米 	nián liān zhān					
淤	水 	yū					
雌	隹 	cí cī					
槛	木 	jiàn kăn					
檻	木 	jiàn kăn xiăn					
彤	彡 	tóng					
頤	頁 	yí					
颐	頁 	yí					
俟	人 	sì qí					
朕	月 	zhèn					
绫	糸 	líng					
綾	糸 	líng					
蛎	虫 	lì					
蠣	虫 	lì					
蕪	艸 	wú wŭ					
芜	艸 	wú					
霏	雨 	fēi					
梧	木 	wú wù yŭ					
妾	女 	qiè					
殆	歹 	dài					
狙	犬 	jū					
諂	言 	chăn					
谄	言 	chăn					
甭	用 	béng qì					
煦	火 	xŭ xù xiū					
眛	目 	mèi					
扉	戶 	fēi					
揪	手 	jiū					
瑚	玉 	hú					
酪	酉 	luò lào lù					
瞇	目 	mī					
谕	言 	yù					
諭	言 	yù tŏu					
机	木 	jī					
揖	手 	yī jí					
蟋	虫 	xī					
匈	勹 	xiōng					
幢	巾 	chuáng zhuàng zhuàng					
瀕	水 	bīn					
濒	水 	bīn					
雍	隹 	yōng					
蠹	虫 	dù					
琇	玉 	xiù					
閹	門 	yān					
阉	門 	yān					
惦	心 	diàn					
渠	水 	qú jù					
恺	心 	kăi					
愷	心 	kăi					
崭	山 	zhăn					
嶄	山 	zhăn					
兀	儿 	wù					
餒	食 	nĕi					
馁	食 	nĕi					
餾	食 	liù liú					
馏	食 	liù liú					
訢	言 	xīn xī yín					
婵	女 	chán					
嬋	女 	chán					
炙	火 	zhì					
亵	亠 	xiè					
褻	衣 	xiè dié					
迂	辵 	yū yù					
姥	女 	mŭ lăo					
鑿	金 	záo zuò zú zào					
凿	凵 	záo zuò					
玟	玉 	wén mín					
讼	言 	sòng róng					
訟	言 	sòng róng					
漪	水 	yī					
釷	金 	tŭ					
钍	金 	tŭ					
葳	艸 	wēi					
咐	口 	fù					
骰	骨 	tóu gŭ					
嫻	女 	xián					
娴	女 	xián					
猖	犬 	chāng					
訛	言 	é					
讹	言 	é					
辮	辛 	biàn					
辫	辛 	biàn					
汶	水 	wèn mén wén mín					
咻	口 	xiū xŭ					
儷	人 	lì					
俪	人 	lì					
佢	人 	qú					
囝	囗 	jiăn nān					
烽	火 	fēng					
晏	日 	yàn					
葫	艸 	hú					
僱	人 	gù					
踮	足 	diăn					
桔	木 	jié jú xié					
诬	言 	wú wū					
誣	言 	wú wū					
癥	疒 	zhēng					
症	疒 	zhèng zhēng					
嘱	口 	zhŭ					
囑	口 	zhŭ					
罣	网 	guà					
饪	食 	rèn					
飪	食 	rèn					
癖	疒 	pĭ					
彪	彡 	biāo					
俘	人 	fú					
咄	口 	duō					
渚	水 	zhŭ					
庇	广 	bì					
侈	人 	chĭ					
詔	言 	zhào zhāo					
诏	言 	zhào					
萦	艸 	yíng					
縈	糸 	yíng					
箔	竹 	bó					
舔	舌 	tiăn tān					
擂	手 	léi lèi lēi					
璽	玉 	xĭ					
玺	玉 	xĭ					
迺	辵 	năi					
鯊	魚 	shā					
鲨	魚 	shā					
鮑	魚 	bào bāo pāo					
鲍	魚 	bào					
疹	疒 	zhĕn chèn					
遑	辵 	huáng					
蔺	艸 	lìn					
藺	艸 	lìn					
洒	水 	să cuĭ xĭ xiăn sĕn xùn					
桓	木 	huán					
茗	艸 	mĭng míng					
辟	辛 	pì pī bì mĭ					
瞋	目 	chēn					
褐	衣 	hé hè hé					
熹	火 	xī					
顱	頁 	lú					
颅	頁 	lú					
弋	弋 	yì					
慄	心 	lì					
蓊	艸 	wĕng wèng					
羿	羽 	yì					
噬	口 	shì					
籐	竹 	téng					
窒	穴 	zhì dié					
碴	石 	chá zhā zhă chā					
跋	足 	bá bèi					
肪	肉 	fáng					
睦	目 	mù					
罹	网 	lí					
臀	肉 	tún					
槌	木 	chuí zhuì duī					
瘓	疒 	huàn					
痪	疒 	huàn					
瀛	水 	yíng					
胚	肉 	pēi					
揹	手 	bēi					
漾	水 	yàng yáng					
卉	十 	huì					
拇	手 	mŭ					
釗	金 	zhāo					
钊	金 	zhāo					
璀	玉 	cuĭ					
娣	女 	dì					
谚	言 	yàn					
諺	言 	yàn					
鞘	革 	qiào shāo					
吩	口 	fēn					
羚	羊 	líng					
钳	金 	qián					
鉗	金 	qián ān					
晒	日 	shài					
竣	立 	38139					
炽	火 	chì					
熾	火 	chì					
翎	羽 	líng					
惺	心 	xīng					
丕	一 	pī					
洹	水 	huán					
跛	足 	bŏ bì pō					
勦	力 	jiăo chāo					
蛾	虫 	é yĭ					
撩	手 	liáo liāo liào					
翊	羽 	yì					
氯	气 	lܴ					
穀	禾 	gŭ gòu nòu					
譎	言 	jué					
谲	言 	jué					
攘	手 	ráng răng ràng					
痔	疒 	zhì					
钙	金 	gài					
鈣	金 	gài					
漱	水 	shù sòu					
嗳	口 	ài ăi āi					
噯	口 	ài ăi āi					
婿	女 	xù					
瘀	疒 	yū					
軾	車 	shì					
轼	車 	shì					
滸	水 	hŭ xŭ					
浒	水 	hŭ					
漩	水 	xuán xuàn					
昕	日 	xīn					
垣	土 	yuán					
霭	雨 	ăi					
靄	雨 	ăi					
尸	尸 	shī					
咯	口 	gē kă lo					
剿	刀 	jiăo chāo					
瞥	目 	piē bì					
骸	骨 	hái gāi					
咿	口 	yī					
貍	豸 	lí mái					
磷	石 	lìn lín lĭn líng					
绎	糸 	yì					
繹	糸 	yì shì					
槳	木 	jiăng jiāng					
桨	木 	jiăng					
霾	雨 	mái lí					
棕	木 	zōng					
燿	火 	yào shào shuò					
筍	竹 	sŭn					
吽	口 	óu hŏu					
遴	辵 	lín lìn					
鎔	金 	róng					
俑	人 	yŏng					
咨	口 	zī					
婪	女 	lán					
敕	攴 	chì					
孺	子 	rú rù					
訥	言 	nè nà					
讷	言 	nè nà					
氮	气 	dàn					
矗	目 	chù					
尪	尢 	wāng					
寐	宀 	mèi					
靴	革 	xuē					
裴	衣 	péi féi					
鹊	鳥 	què					
鵲	鳥 	què					
靚	青 	jìng liàng					
靓	青 	jìng					
仝	人 	tóng tòng					
洸	水 	guāng huáng					
磕	石 	kē kĕ					
鬓	髟 	bìn					
鬢	髟 	bìn					
荻	艸 	dí					
陨	阜 	yŭn yuán					
隕	阜 	yŭn yuán					
汞	水 	gŏng					
蚣	虫 	gōng zhōng					
佯	人 	yáng					
珀	玉 	pò					
沥	水 	lì					
瀝	水 	lì					
咀	口 	jŭ zŭ					
榷	木 	què					
暐	日 	wĕi					
簇	竹 	cù còu chuò					
鸝	鳥 	lí					
鹂	鳥 	lí					
隍	阜 	huáng					
痺	疒 	bēi bì					
镍	金 	niè					
鎳	金 	niè					
桠	木 	yá					
椏	木 	yā yá					
篑	竹 	kuì					
簣	竹 	kuì					
籽	米 	zĭ					
瘴	疒 	zhàng					
胥	肉 	xū xŭ					
徙	彳 	xĭ					
痠	疒 	suān					
濯	水 	zhuó zhào shuò					
朴	木 	pò pú pō piáo pŭ					
撮	手 	cuō zuŏ					
搧	手 	shān					
弩	弓 	nŭ					
寅	宀 	yín					
殉	歹 	xùn					
竑	立 	hóng					
堉	土 	yù					
麓	鹿 	lù					
嗔	口 	tián chēn					
蚓	虫 	yĭn					
睞	目 	lài					
睐	目 	lài					
墟	土 	xū					
疙	疒 	gē yì					
垠	土 	yín					
蜈	虫 	wú					
嬴	女 	yíng					
崢	山 	zhēng					
峥	山 	zhēng					
夙	夕 	sù					
嗅	口 	xiù					
仆	人 	pū fù pú					
璜	玉 	huáng					
峭	山 	qiào					
蜍	虫 	chú shú yú					
聿	聿 	yù					
蚯	虫 	qiū					
阕	門 	què					
闋	門 	què jué kuí					
檀	木 	tán shàn					
钣	金 	băn					
鈑	金 	băn					
罔	网 	wăng wáng					
摹	手 	mó					
鰻	魚 	mán					
鳗	魚 	mán					
蛊	虫 	gŭ					
蠱	虫 	gŭ					
拈	手 	nián niān niăn diān					
媲	女 	pì					
箋	竹 	jiān					
笺	竹 	jiān					
湄	水 	méi					
擄	手 	lŭ					
掳	手 	lŭ					
鴕	鳥 	tuó					
鸵	鳥 	tuó					
谩	言 	mán màn					
謾	言 	mán màn					
瞩	目 	zhŭ					
矚	目 	zhŭ					
垚	土 	yáo					
賬	貝 	zhàng					
账	貝 	zhàng					
躪	足 	lìn lìn					
躏	足 	lìn					
崚	山 	léng					
樊	木 	fán pán fàn					
瘩	疒 	dā dá					
蔗	艸 	zhè					
邃	辵 	suì					
亙	二 	gèn gèng					
沂	水 	yí yín					
鞑	革 	dá					
韃	革 	dá tà					
粱	米 	liáng					
蹂	足 	róu róu					
旄	方 	máo					
扪	手 	mén					
捫	手 	mén					
諳	言 	ān tŏu					
谙	言 	ān					
紓	糸 	shū					
纾	糸 	shū					
叨	口 	tāo dāo					
焜	火 	kūn hŭn					
螳	虫 	táng					
曄	日 	yè					
晔	日 	yē yè					
劭	力 	shào					
喈	口 	jiē					
渍	水 	zì					
漬	水 	zì sè qì					
閨	門 	guī					
闺	門 	guī					
渎	水 	dú dòu					
瀆	水 	dú dòu					
乩	乙 	jī					
憚	心 	dàn					
惮	心 	dàn					
雱	雨 	páng					
坷	土 	kĕ kē					
奚	大 	xī xí					
淮	水 	huái					
拗	手 	ăo ào niù					
稠	禾 	chóu tiáo tiào diào					
睽	目 	kuí jì					
跩	足 	zhuăi shì					
酗	酉 	xù					
彆	弓 	biè					
浙	水 	zhè					
鋇	金 	bèi					
钡	金 	bèi					
琢	玉 	zhuó zuó					
誹	言 	fĕi					
诽	言 	fĕi					
饕	食 	tāo					
龌	齒 	wò					
齷	齒 	wò					
隼	隹 	zhŭn sŭn					
箍	竹 	gū					
吮	口 	shŭn					
陞	阜 	shēng					
掐	手 	qiā					
蓁	艸 	zhēn qín					
寨	宀 	zhài					
敖	攴 	áo ào					
驥	馬 	jì					
骥	馬 	jì					
酉	酉 	yŏu					
咩	口 	miē					
虱	虫 	shī					
酣	酉 	hān hàn					
篷	竹 	péng					
癲	疒 	diān					
癫	疒 	diān					
欸	欠 	ăi āi ēi èi					
媄	女 	mĕi					
岑	山 	cén					
湃	水 	pài bá					
遏	辵 	è					
骁	馬 	xiāo					
驍	馬 	xiāo					
万	一 	mò wàn					
匱	匚 	guì kuì					
匮	匚 	guì kuì					
溅	水 	jiàn jiān					
濺	水 	jiàn jiān zàn					
簷	竹 	yán					
戾	戶 	lì liè					
滂	水 	pāng					
镳	金 	biāo					
鑣	金 	biāo					
鬩	鬥 	xì hè					
阋	門 	xì					
竽	竹 	yú					
芻	艸 	chú					
刍	刀 	chú					
烜	火 	xuăn huĭ xuān					
銃	金 	chòng					
铳	金 	chòng					
渥	水 	wò òu wū					
燉	火 	dùn dūn tūn tún					
瞑	目 	míng mĭng mián miàn méng					
鑲	金 	xiāng ráng					
镶	金 	xiāng ráng					
衿	衣 	jīn qìn					
粟	米 	sù					
笆	竹 	bā					
摻	手 	xiān càn chān shăn					
掺	手 	xiān chān càn shăn					
锤	金 	chuí					
錘	金 	chuí					
吁	口 	xū yù					
蛹	虫 	yŏng					
梖	木 	bèi					
恙	心 	yàng					
崛	山 	jué					
烷	火 	wán					
賏	貝 	yìng					
孜	子 	zī					
嶇	山 	qū					
岖	山 	qū					
榻	木 	tà					
绸	糸 	chóu tāo					
綢	糸 	chóu tāo diào					
譙	言 	qiáo qiào					
谯	言 	qiáo qiào					
遽	辵 	jù qú					
卍	十 	wàn					
爻	爻 	yáo xiào					
贔	貝 	bì					
葆	艸 	băo bāo					
驂	馬 	cān					
骖	馬 	cān					
娓	女 	wĕi					
枣	木 	zăo					
棗	木 	zăo					
馊	食 	sōu					
餿	食 	sōu					
潢	水 	huáng huăng huàng guāng					
庠	广 	xiáng					
庵	广 	ān					
剷	刀 	chăn					
嚥	口 	yàn					
捅	手 	tŏng					
垛	土 	duŏ					
迭	辵 	dié					
圃	囗 	pŭ					
狽	犬 	bèi					
狈	犬 	bèi					
嗦	口 	suō					
町	田 	tĭng tīng dīng zhèng tiăn					
鯰	魚 	nián					
鲶	魚 	nián					
漳	水 	zhāng					
澹	水 	dàn dán shàn tán dān					
隴	阜 	lŏng					
陇	阜 	lŏng					
齪	齒 	chuò					
龊	齒 	chuò					
厘	厂 	lí					
杵	木 	chŭ					
蟆	虫 	má mò					
怂	心 	sŏng					
慫	心 	sŏng					
姪	女 	zhí					
苯	艸 	bĕn					
揆	手 	kuí					
髦	髟 	máo lí					
懵	心 	méng mĕng					
潞	水 	lù					
诧	言 	chà					
詫	言 	chà dù					
赂	貝 	lù					
賂	貝 	lù					
琬	玉 	wăn					
橢	木 	tuŏ duŏ					
椭	木 	tuŏ					
佗	人 	tuō					
皎	白 	jiăo					
詼	言 	huī					
诙	言 	huī					
谆	言 	zhūn zhùn					
諄	言 	zhūn zhùn					
镛	金 	yōng					
鏞	金 	yōng					
贻	貝 	yí					
貽	貝 	yí					
壬	士 	rén					
悚	心 	sŏng					
摒	手 	bìng					
殇	歹 	shāng					
殤	歹 	shāng					
邇	辵 	ĕr					
迩	辵 	ĕr					
逑	辵 	qiú					
孚	子 	fú fū					
劾	力 	hé					
喳	口 	zhā chā					
糯	米 	nuò					
佣	人 	yòng yōng yóng					
濂	水 	lián xiăn					
榆	木 	yú					
缇	糸 	tí					
緹	糸 	tí					
餡	食 	xiàn kàn					
馅	食 	xiàn					
馥	香 	fù bì					
踝	足 	huái huà					
鬨	鬥 	hōng hŏng hòng					
迥	辵 	jiŏng					
镉	金 	gé lì					
鎘	金 	gé lì					
叱	口 	chì					
拎	手 	līng					
猥	犬 	wĕi wèi					
悖	心 	bèi bó					
脓	肉 	nóng					
膿	肉 	nóng					
鳕	魚 	xuĕ					
鱈	魚 	xuĕ					
柿	木 	shì					
砥	石 	dĭ zhĭ					
潺	水 	chán					
盥	皿 	guàn					
脐	肉 	qí					
臍	肉 	qí					
邰	邑 	tái					
腑	肉 	fŭ					
鎂	金 	mĕi					
镁	金 	mĕi					
攢	手 	zăn cuán zuān					
攒	手 	zăn					
隋	阜 	suí duò tuŏ tuō					
嗣	口 	sì					
闸	門 	zhá					
閘	門 	zhá yā gé					
碇	石 	dìng					
豺	豸 	chái					
冇	冂 	măo					
傜	人 	yáo					
梗	木 	gĕng					
肄	聿 	yì sì					
萼	艸 	è					
咁	口 	gem4					
搥	手 	chuí					
枋	木 	fāng bìng					
沽	水 	gū gŭ					
亩	亠 	mŭ					
畝	田 	mŭ					
衙	行 	yá yú yŭ yù					
魷	魚 	yóu					
鱿	魚 	yóu					
鑾	金 	luán					
銮	金 	luán					
篡	竹 	cuàn					
璨	玉 	càn					
錨	金 	máo					
锚	金 	máo					
泯	水 	mĭn miàn					
拽	手 	zhuāi yè zhuài					
鎗	金 	qiāng qiàng chēng					
籟	竹 	lài					
籁	竹 	lài					
蔫	艸 	yān niān yàn					
戎	戈 	róng					
剌	刀 	là lá					
貯	貝 	zhŭ zhù					
贮	貝 	zhŭ zhù					
黝	黑 	yŏu yī					
徠	彳 	lái lái lài					
徕	彳 	lái lái lài					
妍	女 	yán					
沃	水 	wò					
钛	金 	tài					
鈦	金 	tài					
逵	辵 	kuí					
呗	口 	bài bei					
唄	口 	bài bei					
唢	口 	suŏ					
嗩	口 	suŏ					
驭	馬 	yù					
馭	馬 	yù					
恿	心 	yŏng					
灶	火 	zào					
昊	日 	hào					
胤	肉 	yìn					
鈿	金 	diàn tián					
钿	金 	diàn tián					
闔	門 	hé gé					
阖	門 	gé hé					
沬	水 	mèi huì					
琅	玉 	láng làng					
筐	竹 	kuāng					
浣	水 	wăn guăn huàn					
杞	木 	qĭ					
牒	片 	dié					
荃	艸 	quán chuò					
鉦	金 	zhēng					
钲	金 	zhēng					
艋	舟 	mĕng					
踼	足 	táng					
驤	馬 	xiāng					
骧	馬 	xiāng					
苞	艸 	bāo páo biāo					
痣	疒 	zhì					
澗	水 	jiàn					
涧	水 	jiàn					
洄	水 	huí huì					
牯	牛 	gŭ					
啜	口 	chuò					
痰	疒 	tán					
莞	艸 	wăn guān guăn					
惬	心 	qiè					
愜	心 	qiè					
煇	火 	huī xūn yùn					
鲑	魚 	guī wā xié					
鮭	魚 	guī wā xié kuí huà					
倏	人 	shū					
藕	艸 	ŏu					
芮	艸 	ruì ruò					
麾	麻 	huī					
雉	隹 	zhì kăi yĭ sì					
鼐	鼎 	nài					
仞	人 	rèn					
栩	木 	xŭ					
菠	艸 	bō					
剽	刀 	piào					
狒	犬 	fèi					
傩	人 	nuó					
儺	人 	nuó					
柒	木 	qī					
筏	竹 	fá					
妲	女 	dá					
伎	人 	jì qí					
睫	目 	jié shè					
纭	糸 	yún					
紜	糸 	yún					
辇	車 	niăn					
輦	車 	niăn					
顰	頁 	pín					
颦	頁 	pín					
哮	口 	xiāo					
骼	骨 	gé					
螫	虫 	zhē shì					
愫	心 	sù					
裱	衣 	biăo					
荀	艸 	xún					
晤	日 	wù					
釧	金 	chuàn					
钏	金 	chuàn					
雩	雨 	yú yù xū					
玠	玉 	jiè					
吆	口 	yāo					
汨	水 	mì gŭ					
糜	米 	mí méi					
呷	口 	xiā					
毗	比 	pí					
涌	水 	yŏng chōng					
弼	弓 	bì					
坍	土 	tān					
垓	土 	gāi					
靦	面 	tiăn miăn					
乒	丿 	pīng					
麴	麥 	qú qū					
黴	黑 	méi					
箩	竹 	luó					
籮	竹 	luó					
噠	口 	dā					
哒	口 	dā					
齁	鼻 	hóu hōu					
悻	心 	xìng					
桢	木 	zhēn zhēng					
楨	木 	zhēn zhēng					
鸞	鳥 	luán					
鸾	鳥 	luán					
悱	心 	fĕi					
綏	糸 	suī suí tuŏ shuāi ruí					
绥	糸 	suī suí tuŏ					
绯	糸 	fēi					
緋	糸 	fēi					
歛	欠 	liàn liăn					
躄	足 	bì					
偌	人 	ruò					
蒨	艸 	qiàn					
謔	言 	nܥ4 xuè					
谑	言 	nܥ4 xuè					
冽	冫 	liè					
蜃	虫 	shèn					
瞰	目 	kàn					
薏	艸 	yì					
腆	肉 	tiăn					
槭	木 	cù qī sè					
宸	宀 	chén					
蝗	虫 	huáng					
踱	足 	duò duó chuò					
饯	食 	jiàn					
餞	食 	jiàn					
逄	辵 	páng féng					
浬	水 	lĭ hăilí					
娼	女 	chāng					
刽	刀 	guì					
劊	刀 	guì					
巿	巾 	fú					
屹	山 	yì					
唧	口 	jī					
唏	口 	xī					
娉	女 	pīng					
潦	水 	liáo liăo lăo lào láo					
嗙	口 	păng					
蚌	虫 	bàng bèng pí fēng					
稔	禾 	rĕn					
乓	丿 	pang					
倔	人 	jué juè					
哽	口 	gĕng					
窠	穴 	kē					
俸	人 	fèng					
淦	水 	gàn					
谏	言 	jiàn					
諫	言 	jiàn					
譁	言 	huá					
黉	黃 	héng hóng					
黌	黃 	héng hóng					
碾	石 	niàn liăn					
瘪	疒 	piē biĕ biē biĕ					
癟	疒 	piē biē biĕ					
鰭	魚 	qí					
鳍	魚 	qí					
檜	木 	kuài guì huì					
桧	木 	kuài guì huì					
齦	齒 	kĕn yín qiăn					
龈	齒 	kĕn yín					
毘	比 	pí					
覷	見 	qù					
觑	見 	qù					
帷	巾 	wéi					
礪	石 	lì					
砺	石 	lì					
魇	鬼 	yăn					
魘	鬼 	yăn					
晌	日 	shăng					
缽	缶 	bō					
蜿	虫 	wān wăn					
墩	土 	dūn dūn					
燊	火 	shēn					
捆	手 	kŭn					
嵌	山 	qiàn qiān					
釆	釆 	biàn căi					
謨	言 	mó					
谟	言 	mó					
茸	艸 	róng rŏng					
獗	犬 	jué					
鯤	魚 	kūn					
鲲	魚 	kūn					
泱	水 	yāng yăng					
栓	木 	shuān					
崧	山 	sōng					
啐	口 	cuì					
祀	示 	sì					
崁	山 	kăn					
舫	舟 	făng					
陲	阜 	chuí					
姍	女 	shān					
捻	手 	niăn niē					
琛	玉 	chēn					
蛟	虫 	jiāo					
磺	石 	huáng kuàng					
謐	言 	mì					
谧	言 	mì					
咋	口 	zhà zé					
閤	門 	gé hé					
瀅	水 	yìng yíng jiōng					
滢	水 	yìng yíng					
蝌	虫 	kē					
鋤	金 	chú jŭ					
锄	金 	chú					
埵	土 	duŏ					
弛	弓 	chí shĭ					
箇	竹 	gè gĕ					
踞	足 	jù					
窿	穴 	lóng					
鼾	鼻 	hān					
匝	匚 	zā					
荏	艸 	rĕn					
滌	水 	dí					
涤	水 	dí					
踵	足 	zhŏng zhòng					
蹶	足 	jué juĕ guì					
帑	巾 	tăng nú					
糰	米 	tuán					
獃	犬 	dāi					
燁	火 	yè					
烨	火 	yè					
掬	手 	jú jū					
吒	口 	zhà chà zhā					
窪	穴 	wā					
燻	火 	xūn					
躋	足 	jī					
跻	足 	jī					
弭	弓 	mĭ					
醞	酉 	yùn					
傯	人 	zŏng					
磐	石 	pán					
夯	大 	hāng bèn					
嗇	口 	sè					
啬	口 	sè					
捱	手 	ái					
蕨	艸 	jué					
葯	艸 	yào yuè					
忝	心 	tiăn					
嗟	口 	jiē juē					
絹	糸 	juàn xuàn					
绢	糸 	juàn					
鉀	金 	jiă hé gé					
钾	金 	jiă hé					
瞿	目 	qū qú jù jí					
鳅	魚 	qiū					
鰍	魚 	qiū					
邝	邑 	kuàng					
鄺	邑 	kuàng kuò					
舶	舟 	bó					
晾	日 	liàng					
嬤	女 	mā					
鞦	革 	qiū					
缱	糸 	qiăn					
繾	糸 	qiăn					
轧	車 	yà gá zhá					
軋	車 	yà gá zhá					
嬸	女 	shĕn					
婶	女 	shĕn					
狩	犬 	shòu					
蚪	虫 	dŏu					
诒	言 	yí					
詒	言 	yí dài tái					
爰	爪 	yuán					
楔	木 	xiè xiē					
擘	手 	bò					
狞	犬 	níng					
獰	犬 	níng					
縹	糸 	piăo piāo					
缥	糸 	piăo piāo					
鹬	鳥 	yù					
鷸	鳥 	yù shù					
隹	隹 	zhuī cuī wéi					
埤	土 	pí bēi bì					
慍	心 	yùn					
猾	犬 	huá					
箝	竹 	qián					
餚	食 	yáo					
濡	水 	rú nuán ruăn ér nuò					
蹬	足 	dèng dēng					
騖	馬 	wù					
骛	馬 	wù					
镰	金 	lián					
鐮	金 	lián					
囈	口 	yì					
呓	口 	yì					
芎	艸 	qiōng xiōng					
胱	肉 	guāng					
湮	水 	yīn yān					
獭	犬 	tà tă					
獺	犬 	tà tă					
嗝	口 	gé					
恫	心 	tōng dòng					
琥	玉 	hŭ					
鈾	金 	yóu zhòu					
铀	金 	yóu					
嚏	口 	tì					
啻	口 	chì					
邢	邑 	xíng gĕng					
偃	人 	yăn					
楹	木 	yíng					
閡	門 	hé gāi ài hài kăi					
阂	門 	hé gāi					
颯	風 	sà lì					
飒	風 	sà					
蟒	虫 	măng mĕng					
鼴	鼠 	yăn					
眈	目 	dān tán chĕn					
诌	言 	zōu zhōu					
謅	言 	zōu zhōu chăo chōu					
剁	刀 	duò					
宦	宀 	huàn					
犁	牛 	lí					
翌	羽 	yì					
稷	禾 	jì zè					
閭	門 	lܲ					
闾	門 	lܲ					
