的	白 	de dí dì					
切	刀 	qiē qiè qì					
集	隹 	jí					
稱	禾 	chēng chèng chèn					
称	禾 	chēng chèn chèng					
據	手 	jù					
落	艸 	luò là lào luō					
越	走 	yuè huó					
竟	立 	jìng					
盡	皿 	jìn jĭn					
尽	尸 	jĭn					
待	彳 	dài dāi					
闻	門 	wén wèn					
聞	耳 	wén wèn					
園	囗 	yuán					
园	囗 	yuán					
忘	心 	wàng wáng					
值	人 	zhí zhì					
産	生 	chăn					
產	生 	chăn					
消	水 	xiāo					
双	又 	shuāng					
雙	隹 	shuāng					
紅	糸 	hóng gōng jiàng					
红	糸 	hóng hōng gōng					
座	广 	zuò					
展	尸 	zhăn					
育	肉 	yù yō					
跑	足 	păo páo bó					
附	阜 	fù pŏu bù fū					
嘛	口 	ma ma					
执	手 	zhí					
執	土 	zhí					
唱	口 	chàng					
技	手 	jì					
某	木 	mŏu					
硬	石 	yìng gĕng					
斯	斤 	sī					
雲	雨 	yún					
遊	辵 	yóu					
息	心 	xī					
助	力 	zhù					
须	頁 	xū					
須	頁 	xū					
苦	艸 	kŭ gŭ					
介	人 	jiè					
效	攴 	xiào					
首	首 	shŏu					
质	貝 	zhí zhì					
質	貝 	zhí zhì					
例	人 	lì					
唉	口 	āi ài					
職	耳 	zhí zhì tè					
职	耳 	zhí zhì					
復	彳 	fù fù fòu					
輸	車 	shū shù					
输	車 	shū					
节	艸 	jié jiē					
節	竹 	jié jiē					
規	見 	guī kuī xù guì					
规	見 	guī kui					
注	水 	zhù zhòu					
畢	田 	bì					
毕	比 	bì					
查	木 	chá zhā					
热	火 	rè					
熱	火 	rè					
油	水 	yóu yòu					
馆	食 	guăn					
館	食 	guăn					
態	心 	tài					
态	心 	tài					
停	人 	tíng					
福	示 	fú fù					
救	攴 	jiù					
倒	人 	dăo dào					
亲	亠 	qīn qìng					
親	見 	qīn qìng xīn					
害	宀 	hài hé					
亂	乙 	luàn					
乱	乙 	luàn					
古	口 	gŭ					
步	止 	bù					
寶	宀 	băo					
宝	宀 	băo					
击	凵 	jí jī					
擊	手 	jí jī					
举	丶 	jŭ					
舉	臼 	jŭ					
終	糸 	zhōng					
终	糸 	zhōng					
嗯	口 	4ng 2ng 3ng					
印	卩 	yìn					
限	阜 	xiàn wĕn					
依	人 	yī yĭ					
断	斤 	duàn					
斷	斤 	duàn					
轻	車 	qīng					
輕	車 	qīng qìng					
环	玉 	huán					
環	玉 	huán huàn					
简	竹 	jiăn					
簡	竹 	jiăn					
趣	走 	qù cù qū cŏu zōu					
志	心 	zhì					
响	口 	xiăng					
響	音 	xiăng					
随	阜 	suí					
隨	阜 	suí					
練	糸 	liàn					
练	糸 	liàn					
續	糸 	xù					
续	糸 	xù					
魚	魚 	yú					
鱼	魚 	yú					
篇	竹 	piān					
司	口 	sī					
局	尸 	jú					
送	辵 	sòng					
極	木 	jí					
角	角 	jiăo jué gŭ lù					
省	目 	shĕng xiăn xĭng					
源	水 	yuán					
阳	阜 	yáng					
陽	阜 	yáng					
幹	干 	gàn hán					
習	羽 	xí					
习	乙 	xí					
罗	网 	luō luó luo					
羅	网 	luó luō luo					
武	止 	wŭ					
免	儿 	miăn					
疑	疋 	yí nĭ níng					
拉	手 	lā lá lă là					
克	儿 	kè					
仍	人 	réng					
樓	木 	lóu lܲ					
楼	木 	lóu					
佛	人 	fó fú					
足	足 	zú jù					
低	人 	dī					
廣	广 	guăng					
广	广 	yăn ān guăng					
烦	火 	fán					
煩	火 	fán					
鳥	鳥 	niăo diăo dăo què					
鸟	鳥 	niăo diăo					
显	日 	xiăn					
顯	頁 	xiăn					
碼	石 	mă					
码	石 	mă					
土	土 	tŭ					
率	玄 	lܳhuài lܥ4					
聖	耳 	shèng					
壞	土 	huài					
初	刀 	chū					
具	八 	jù					
預	頁 	yù					
预	頁 	yù					
呀	口 	yā ya					
众	人 	zhòng					
衆	血 	zhòng					
眾	目 	zhòng					
责	貝 	zé zhài					
責	貝 	zé zhài					
爭	爪 	zhēng zhèng					
争	亅 	zhēng zhèng					
兵	八 	bīng					
智	日 	zhì zhī					
誤	言 	wù					
误	言 	wù					
境	土 	jìng					
青	青 	qīng jīng					
顺	頁 	shùn					
順	頁 	shùn					
野	里 	yĕ					
楚	木 	chŭ					
貴	貝 	guì					
贵	貝 	guì					
负	貝 	fù					
負	貝 	fù					
压	厂 	yā yà					
壓	土 	yā yà					
史	口 	shĭ					
適	辵 	shì dí tì zhé					
係	人 	xì					
測	水 	cè					
测	水 	cè					
懷	心 	huái					
迎	辵 	yíng yìng					
配	酉 	pèi					
魔	鬼 	mó					
慢	心 	màn					
哇	口 	wā wa					
懂	心 	dŏng					
嗚	口 	wū					
呜	口 	wū					
亦	亠 	yì					
味	口 	wèi					
评	言 	píng					
評	言 	píng					
舞	舛 	wŭ					
細	糸 	xì					
细	糸 	xì					
医	匸 	yì yī					
醫	酉 	yī					
帝	巾 	dì					
屬	尸 	shŭ zhŭ					
属	尸 	shŭ zhŭ					
句	口 	jù gōu					
戀	心 	liàn					
恋	心 	liàn					
败	貝 	bài					
敗	攴 	bài					
宜	宀 	yí					
楊	木 	yáng					
杨	木 	yáng					
甲	田 	jiă					
追	辵 	zhuī duī tuī					
灌	水 	guàn huàn					
春	日 	chūn chŭn					
左	工 	zuŏ					
敢	攴 	găn					
靈	雨 	líng lìng					
灵	火 	líng lìng					
狂	犬 	kuáng jué					
際	阜 	jì					
际	阜 	jì					
群	羊 	qún					
族	方 	zú zòu còu					
木	木 	mù					
骑	馬 	qí jì					
騎	馬 	qí jì					
里	里 	lĭ					
项	頁 	xiàng					
項	頁 	xiàng					
戲	戈 	xì xī					
戏	戈 	xì xī hū huī					
遇	辵 	yù					
狗	犬 	gŏu					
佳	人 	jia					
博	十 	bó					
右	口 	yòu					
痛	疒 	tòng					
營	火 	yíng cuō					
营	艸 	yíng					
妹	女 	mèi					
康	广 	kāng					
善	口 	shàn					
徵	彳 	zhēng zhĭ					
历	厂 	lì					
歷	止 	lì					
官	宀 	guān					
尔	小 	ĕr					
爾	爻 	ĕr					
按	手 	àn					
編	糸 	biān biàn biăn					
编	糸 	biān biàn					
病	疒 	bìng					
护	手 	hù					
護	言 	hù					
补	衣 	bŭ					
補	衣 	bŭ					
择	手 	zé zhái					
擇	手 	zé zhái					
抓	手 	zhuā zhāo					
石	石 	shí dàn					
歲	止 	suì					
岁	山 	suì					
隻	隹 	zhī					
领	頁 	lĭng					
領	頁 	lĭng					
寻	寸 	xún xín					
尋	寸 	xún xín					
溫	水 	wēn					
养	八 	yăng yàng					
養	食 	yăng yàng					
止	止 	zhĭ					
守	宀 	shŏu shòu					
君	口 	37043					
血	血 	xiĕ xuè					
田	田 	tián					
雨	雨 	yŭ yù					
居	尸 	jū jī					
谓	言 	wèi					
謂	言 	wèi					
異	田 	yì					
優	人 	yōu					
跳	足 	tiào tiáo táo diào					
拜	手 	bài					
爛	火 	làn					
烂	火 	làn					
封	寸 	fēng					
恶	心 	è wù wū					
惡	心 	è wù wū					
良	艮 	liáng liăng					
模	木 	mó mú					
狀	犬 	zhuàng					
状	犬 	zhuàng					
浪	水 	làng láng					
聊	耳 	liáo liú					
增	土 	zēng					
核	木 	hé hú					
激	水 	jī jiào jiāo					
維	糸 	wéi yí					
维	糸 	wéi					
陆	阜 	lù liù					
陸	阜 	lù liù					
吳	口 	wú					
牛	牛 	niú					
忙	心 	máng					
詞	言 	cí					
词	言 	cí					
劇	刀 	jù					
剧	刀 	jù					
